Module,OR,lowCI,upCI,specimen,Coef,absCoef,col
T cell regulation module,0.23,0.08,0.62,HF,-1.480224422,1.480224422,0
Neutrophi/IL-1 module,6.93,2.48,21.61,HF,1.936400549,1.936400549,1
GPCR module,0.27,0.09,0.69,HF,-1.301039619,1.301039619,0
Type I IFN module,0.29,0.09,0.72,HF,-1.229593927,1.229593927,0
HR-1 module,0.44,0.16,1.03,HF,-0.810178065,0.810178065,0
S. pneumoniae/S. aureus module,2.06,0.79,5.24,MT,0.722753971,0.722753971,1
MC-1 module,1.06,0.41,2.73,MT,0.057494515,0.057494515,1
Moraxella module,0.64,0.21,2.01,MT,-0.453273985,0.453273985,0
Streptcoccus module,1.32,0.47,3.84,MT,0.281030275,0.281030275,1
Haemophilus module,0.96,0.32,2.87,MT,-0.035796098,0.035796098,0
mRNA metabolism module,0.33,0.16,0.76,MF,-1.110897194,1.110897194,0
Plasma membrane module,0.51,0.24,1.22,MF,-0.683128647,0.683128647,0
BCAA metabolism module,0.71,0.04,1.78,MF,-0.347198409,0.347198409,0
Oxidative stress response module,0.64,0.11,2.08,MF,-0.447626002,0.447626002,0
NADH dehydrogenase module,0.46,0.02,0.71,MF,-0.780919193,0.780919193,0